"Compound","Radius","Wind Direction","Adj R-sq","Significant_Variables"
"benzene",30,"SW",0.376,"wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_30"
"benzene",30,"NW",0.372,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"benzene",30,"SE,SW",0.378,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"benzene",30,"SE,NW",0.381,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_30"
"benzene",30,"SW,NW",0.376,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"benzene",30,"SE,SW,NW",0.381,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_30"
"benzene",50,"SE",0.381,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_50"
"benzene",50,"SW",0.38,"wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_50"
"benzene",50,"NW",0.375,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",50,"SE,SW",0.383,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",50,"SE,NW",0.385,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_50"
"benzene",50,"SW,NW",0.38,"wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_50"
"benzene",50,"SE,SW,NW",0.384,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"co",5,"SE",0.294,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",5,"SW",0.266,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, n_flare_5"
"co",5,"NW",0.271,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night, n_flare_5"
"co",5,"SE,SW",0.292,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",5,"SE,NW",0.296,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",5,"SW,NW",0.276,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night, n_flare_5"
"co",5,"SE,SW,NW",0.294,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",10,"SE,NW",0.289,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_10"
"co",10,"SE,SW,NW",0.287,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_10"
"co2",50,"SE",0.305,"wsp_ms.night, n_flare_50"
"co2",50,"SW",0.305,"wsp_ms.night, n_flare_50"
"co2",50,"NW",0.304,"wsp_ms.night, n_flare_50"
"co2",50,"SE,SW",0.304,"wsp_ms.night, n_flare_50"
"co2",50,"SE,NW",0.304,"wsp_ms.night, n_flare_50"
"co2",50,"SW,NW",0.304,"wsp_ms.night, n_flare_50"
"co2",50,"SE,SW,NW",0.303,"wsp_ms.night, n_flare_50"
"nox",5,"SE",0.319,"wsp_ms.night, wind_SE.night, n_flare_5"
"nox",5,"SW",0.297,"wsp_ms.night, n_flare_5"
"nox",5,"NW",0.305,"wsp_ms.night, wind_NW.night, n_flare_5"
"nox",5,"SE,SW",0.323,"wsp_ms.night, wind_SE.night, n_flare_5"
"nox",5,"SE,NW",0.321,"wsp_ms.night, wind_SE.night, n_flare_5"
"nox",5,"SW,NW",0.303,"wsp_ms.night, wind_NW.night, n_flare_5"
"nox",5,"SE,SW,NW",0.322,"wsp_ms.night, wind_SE.night, n_flare_5"
"nox",10,"SE",0.328,"wsp_ms.night, wind_SE.night, n_flare_10"
"nox",10,"SW",0.306,"wsp_ms.night, n_flare_10"
"nox",10,"NW",0.314,"wsp_ms.night, wind_NW.night, n_flare_10"
"nox",10,"SE,SW",0.331,"wsp_ms.night, wind_SE.night, n_flare_10"
"nox",10,"SE,NW",0.329,"wsp_ms.night, wind_SE.night, n_flare_10"
"nox",10,"SW,NW",0.312,"wsp_ms.night, wind_NW.night, n_flare_10"
"nox",10,"SE,SW,NW",0.331,"wsp_ms.night, wind_SE.night, n_flare_10"
"nox",20,"SE",0.315,"wsp_ms.night, wind_SE.night, n_flare_20"
"nox",20,"SW",0.296,"wsp_ms.night, n_flare_20"
"nox",20,"NW",0.302,"wsp_ms.night, n_flare_20"
"nox",20,"SE,SW",0.319,"wsp_ms.night, wind_SE.night, n_flare_20"
"nox",20,"SE,NW",0.316,"wsp_ms.night, wind_SE.night, n_flare_20"
"nox",20,"SW,NW",0.3,"wsp_ms.night, n_flare_20"
"nox",20,"SE,SW,NW",0.318,"wsp_ms.night, wind_SE.night, n_flare_20"
"nox",50,"SE",0.324,"wsp_ms.night, wind_SE.night, n_flare_50"
"nox",50,"SW",0.303,"wsp_ms.night, n_flare_50"
"nox",50,"NW",0.31,"wsp_ms.night, wind_NW.night, n_flare_50"
"nox",50,"SE,SW",0.327,"wsp_ms.night, wind_SE.night, n_flare_50"
"nox",50,"SE,NW",0.325,"wsp_ms.night, wind_SE.night, n_flare_50"
"nox",50,"SW,NW",0.308,"wsp_ms.night, wind_NW.night, n_flare_50"
"nox",50,"SE,SW,NW",0.326,"wsp_ms.night, wind_SE.night, n_flare_50"
"h2s",5,"SE",0.099,"wsp_ms.night, n_flare_5"
"h2s",5,"SW",0.109,"wsp_ms.night, wind_SW.night, n_flare_5"
"h2s",5,"SE,SW",0.127,"wsp_ms.night, wind_SE.night, wind_SW.night, n_flare_5"
"h2s",10,"SE",0.099,"wsp_ms.night, n_flare_10"
"h2s",10,"SW",0.107,"wsp_ms.night, wind_SW.night, n_flare_10"
"h2s",10,"SE,SW",0.127,"wsp_ms.night, wind_SE.night, wind_SW.night, n_flare_10"
"h2s",10,"SW,NW",0.167,"wsp_ms.night, wind_NW.night, n_flare_10"
"ethane",5,"SE",0.424,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"ethane",5,"NW",0.421,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"ethane",5,"SE,SW",0.422,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"ethane",5,"SE,NW",0.423,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"ethane",5,"SW,NW",0.422,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"ethane",5,"SE,SW,NW",0.422,"wsp_ms.night, weighted_monthly_oil, n_flare_5"
"ethane",10,"SE",0.427,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ethane",10,"SW",0.424,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ethane",10,"NW",0.424,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ethane",10,"SE,SW",0.425,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ethane",10,"SE,NW",0.426,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ethane",10,"SW,NW",0.425,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ethane",10,"SE,SW,NW",0.425,"wsp_ms.night, weighted_monthly_oil, n_flare_10"
"ethane",20,"SE",0.424,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"ethane",20,"SW",0.421,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"ethane",20,"NW",0.421,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"ethane",20,"SE,SW",0.422,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"ethane",20,"SE,NW",0.423,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"ethane",20,"SW,NW",0.422,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"ethane",20,"SE,SW,NW",0.422,"wsp_ms.night, weighted_monthly_oil, n_flare_20"
"ethane",30,"SE",0.425,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"ethane",30,"SW",0.422,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"ethane",30,"NW",0.422,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"ethane",30,"SE,SW",0.423,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"ethane",30,"SE,NW",0.424,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"ethane",30,"SW,NW",0.422,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"ethane",30,"SE,SW,NW",0.423,"wsp_ms.night, weighted_monthly_oil, n_flare_30"
"ethane",50,"SE",0.431,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SW",0.428,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"NW",0.429,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SE,SW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SE,NW",0.43,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SW,NW",0.429,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethane",50,"SE,SW,NW",0.429,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"ethene",5,"SE",0.357,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",5,"SW",0.302,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, n_flare_5"
"ethene",5,"NW",0.305,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night, n_flare_5"
"ethene",5,"SE,SW",0.355,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",5,"SE,NW",0.36,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",5,"SW,NW",0.318,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, wind_NW.night, n_flare_5"
"ethene",5,"SE,SW,NW",0.358,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"ethene",10,"SE,NW",0.348,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_10"
"ethene",10,"SE,SW,NW",0.347,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_10"
"total_radioactivity",5,"SW",0.44,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, n_flare_5"
"total_radioactivity",10,"SE",0.478,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_10"
"total_radioactivity",10,"SW",0.444,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, n_flare_10"
"total_radioactivity",10,"NW",0.483,"wsp_ms.night, weighted_monthly_oil, wind_NW.night, n_flare_10"
"total_radioactivity",10,"SE,SW",0.477,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_10"
"total_radioactivity",10,"SE,NW",0.503,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, wind_NW.night, n_flare_10"
"total_radioactivity",10,"SW,NW",0.486,"wsp_ms.night, weighted_monthly_oil, wind_NW.night, n_flare_10"
"total_radioactivity",10,"SE,SW,NW",0.502,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, wind_NW.night, n_flare_10"
"total_radioactivity",50,"SE",0.478,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_50"
"total_radioactivity",50,"SW",0.443,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, n_flare_50"
"total_radioactivity",50,"NW",0.482,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night, n_flare_50"
"total_radioactivity",50,"SE,SW",0.478,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_50"
"total_radioactivity",50,"SE,NW",0.504,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, wind_NW.night, n_flare_50"
"total_radioactivity",50,"SW,NW",0.486,"wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_NW.night, n_flare_50"
"total_radioactivity",50,"SE,SW,NW",0.503,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, wind_NW.night, n_flare_50"
"Factor1",5,"SE",0.357,"wsp_ms.night, weighted_monthly_gas, wind_SE.night, n_flare_5"
"Factor1",5,"SW",0.345,"wsp_ms.night, weighted_monthly_gas, n_flare_5"
"Factor1",5,"NW",0.345,"wsp_ms.night, weighted_monthly_gas, n_flare_5"
"Factor1",5,"SE,SW",0.355,"wsp_ms.night, weighted_monthly_gas, wind_SE.night, n_flare_5"
"Factor1",5,"SE,NW",0.356,"wsp_ms.night, weighted_monthly_gas, wind_SE.night, n_flare_5"
"Factor1",5,"SW,NW",0.343,"wsp_ms.night, weighted_monthly_gas, n_flare_5"
"Factor1",5,"SE,SW,NW",0.355,"wsp_ms.night, weighted_monthly_gas, wind_SE.night, n_flare_5"
"Factor1",10,"SE",0.35,"wsp_ms.night, weighted_monthly_gas, wind_SE.night, n_flare_10"
"Factor1",10,"SE,SW",0.348,"wsp_ms.night, weighted_monthly_gas, wind_SE.night, n_flare_10"
"Factor4",5,"SE",0.223,"wsp_ms.night, wind_SE.night, n_flare_5"
"Factor4",5,"SE,SW",0.229,"wsp_ms.night, wind_SE.night, n_flare_5"
"Factor4",5,"SE,NW",0.227,"wsp_ms.night, wind_SE.night, n_flare_5"
"Factor4",5,"SE,SW,NW",0.229,"wsp_ms.night, wind_SE.night, n_flare_5"
"Factor5",5,"SE",0.038,"wsp_ms.night, n_flare_5"
"Factor5",5,"SW",0.037,"wsp_ms.night, n_flare_5"
"Factor5",5,"SE,SW",0.034,"wsp_ms.night, n_flare_5"
"Factor5",10,"SE",0.056,"wsp_ms.night, n_flare_10"
"Factor5",10,"SW",0.055,"wsp_ms.night, n_flare_10"
"Factor5",10,"NW",0.074,"wsp_ms.night, wind_NW.night, n_flare_10"
"Factor5",10,"SE,SW",0.052,"wsp_ms.night, n_flare_10"
"Factor5",10,"SE,NW",0.07,"wsp_ms.night, wind_NW.night, n_flare_10"
"Factor5",10,"SW,NW",0.071,"wsp_ms.night, wind_NW.night, n_flare_10"
"Factor5",10,"SE,SW,NW",0.068,"wsp_ms.night, wind_NW.night, n_flare_10"
